date_releve,marque,modele,nb_total,nb_electrique,proportion_electrique
2026-07-09T15:36:37,Citroën,C1,2,0,0.0
2026-07-09T15:36:37,Citroën,C3,52,11,0.2115
2026-07-09T15:36:37,Citroën,C3 Aircross,40,5,0.125
2026-07-09T15:36:37,Citroën,C4,58,12,0.2069
2026-07-09T15:36:37,Citroën,C4 CACTUS BUSINESS,1,0,0.0
2026-07-09T15:36:37,Citroën,C4 Cactus,14,0,0.0
2026-07-09T15:36:37,Citroën,C4 Picasso,3,0,0.0
2026-07-09T15:36:37,Citroën,C4 X,4,1,0.25
2026-07-09T15:36:37,Citroën,C5 Aircross,66,0,0.0
2026-07-09T15:36:37,Citroën,C5 X,10,0,0.0
2026-07-09T15:36:37,Citroën,GRAND C4 SPACETOURER,3,0,0.0
2026-07-09T15:36:37,Citroën,Grand C4 Picasso,3,0,0.0
2026-07-09T15:36:37,Citroën,Grand C4 Spacetourer,0,0,0.0
2026-07-09T15:36:37,Citroën,JUMPY CABINE APPROFONDIE,1,0,0.0
2026-07-09T15:36:37,Citroën,Jumper Fourgon,1,0,0.0
2026-07-09T15:36:37,Cupra,Ateca,1,0,0.0
2026-07-09T15:36:37,Cupra,Born,1,1,1.0
2026-07-09T15:36:37,Cupra,FORMENTOR,18,0,0.0
2026-07-09T15:36:37,Cupra,Formentor,0,0,0.0
2026-07-09T15:36:37,Cupra,Leon,2,0,0.0
2026-07-09T15:36:37,Cupra,Leon Sportstourer,2,0,0.0
2026-07-09T15:36:37,Cupra,Terramar,2,0,0.0
2026-07-09T15:36:37,DS,DS3,1,0,0.0
2026-07-09T15:36:37,DS,DS3 CROSSBACK,13,2,0.1538
2026-07-09T15:36:37,DS,DS4,14,0,0.0
2026-07-09T15:36:37,DS,DS7,22,0,0.0
2026-07-09T15:36:37,DS,DS7 CROSSBACK,13,0,0.0
2026-07-09T15:36:37,DS,N 4,6,0,0.0
2026-07-09T15:36:37,Dacia,Bigster,33,0,0.0
2026-07-09T15:36:37,Dacia,Duster,69,0,0.0
2026-07-09T15:36:37,Dacia,JOGGER,7,0,0.0
2026-07-09T15:36:37,Dacia,Jogger,0,0,0.0
2026-07-09T15:36:37,Dacia,SPRING,18,18,1.0
2026-07-09T15:36:37,Dacia,Sandero,21,0,0.0
2026-07-09T15:36:37,Fiat,500,41,25,0.6098
2026-07-09T15:36:37,Fiat,500 L,1,0,0.0
2026-07-09T15:36:37,Fiat,500C,8,5,0.625
2026-07-09T15:36:37,Fiat,500X,11,0,0.0
2026-07-09T15:36:37,Fiat,600,17,1,0.0588
2026-07-09T15:36:37,Fiat,DUCATO FOURGON,1,0,0.0
2026-07-09T15:36:37,Fiat,Panda,5,0,0.0
2026-07-09T15:36:37,Fiat,Tipo,1,0,0.0
2026-07-09T15:36:37,Fiat,Tipo Cross,1,0,0.0
2026-07-09T15:36:37,Fiat,Tipo SW,1,0,0.0
2026-07-09T15:36:37,Ford,Ecosport,1,0,0.0
2026-07-09T15:36:37,Ford,Fiesta,14,0,0.0
2026-07-09T15:36:37,Ford,Focus,16,0,0.0
2026-07-09T15:36:37,Ford,Focus SW,7,0,0.0
